successful_update,pair_indices,pair_keys
400,80;79;136;104;105;207;24;213,study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p14:target_t1_800:source_t2_0;study02/study02_p12:target_t2_0:source_t0_0;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p17:target_t7_800:source_t19_800;study02/study02_p08:target_t2_0:source_t13_0;study02/study02_p17:target_t13_400:source_t22_0
401,216;47;110;96;205;186;238;133,study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p17:target_t7_0:source_t15_1200;study02/study02_p16:target_t15_0:source_t7_0;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p13:target_t13_800:source_t12_1200
402,91;17;125;188;33;61;62;234,study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p07:target_t23_0:source_t9_1200;study02/study02_p13:target_t6_400:source_t7_1200;study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p18:target_t10_400:source_t12_0
403,40,study02/study02_p09:target_t2_400:source_t0_1200
404,99;166;169;55;237;119;72;73,study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p09:target_t15_1200:source_t8_800;study02/study02_p18:target_t16_800:source_t12_1200;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p10:target_t3_400:source_t16_1200;study02/study02_p10:target_t3_800:source_t17_400
405,126;84;78;38;146;164;114;113,study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p10:target_t19_1200:source_t21_800;study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p08:target_t16_400:source_t17_1200;study02/study02_p14:target_t12_0:source_t13_0;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p12:target_t9_1200:source_t3_1200
406,23;173;190;82;8;214;183;15,study02/study02_p08:target_t0_1200:source_t12_1200;study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p16:target_t18_0:source_t8_0;study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p07:target_t6_1200:source_t4_800;study02/study02_p17:target_t13_800:source_t22_400;study02/study02_p16:target_t11_400:source_t5_0;study02/study02_p07:target_t22_0:source_t9_400
407,121;57;220;115;3;107;19;36,study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p09:target_t19_400:source_t11_0;study02/study02_p17:target_t18_400:source_t24_1200;study02/study02_p12:target_t14_0:source_t4_400;study02/study02_p07:target_t2_800:source_t3_400;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p07:target_t23_1200:source_t10_400;study02/study02_p08:target_t11_1200:source_t17_400
408,18;170;159;69;13;231;229;27,study02/study02_p07:target_t23_800:source_t10_0;study02/study02_p15:target_t17_0:source_t6_1200;study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p18:target_t0_400:source_t9_1200;study02/study02_p08:target_t7_400:source_t13_1200
409,62;185;56;129;218;217;139;109,study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p09:target_t19_0:source_t8_1200;study02/study02_p13:target_t10_800:source_t9_1200;study02/study02_p17:target_t16_1200:source_t24_400;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p14:target_t4_1200:source_t3_800;study02/study02_p12:target_t7_400:source_t1_1200
410,47;79;14;177;44;135;134;71,study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p07:target_t20_1200:source_t9_0;study02/study02_p16:target_t0_1200:source_t2_800;study02/study02_p09:target_t4_400:source_t1_1200;study02/study02_p14:target_t1_0:source_t0_800;study02/study02_p13:target_t15_800:source_t14_0;study02/study02_p10:target_t3_0:source_t16_800
411,202;165;236;234;130;153;201;104,study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p13:target_t11_0:source_t12_0;study02/study02_p15:target_t3_800:source_t0_800;study02/study02_p17:target_t0_400:source_t14_1200;study02/study02_p12:target_t2_0:source_t0_0
412,32;205;102;24;199;10;172;149,study02/study02_p08:target_t9_0:source_t15_400;study02/study02_p17:target_t7_0:source_t15_1200;study02/study02_p11:target_t22_0:source_t4_800;study02/study02_p08:target_t2_0:source_t13_0;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p07:target_t16_800:source_t5_800;study02/study02_p15:target_t22_0:source_t12_400;study02/study02_p14:target_t15_800:source_t13_1200
413,58;22;30;17;221;147;162;37,study02/study02_p09:target_t19_800:source_t11_400;study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p07:target_t23_0:source_t9_1200;study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p08:target_t16_0:source_t17_800
414,120;207;225;96;1;68;41;142,study02/study02_p12:target_t18_1200:source_t11_800;study02/study02_p17:target_t7_800:source_t19_800;study02/study02_p17:target_t20_1200:source_t2_0;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p07:target_t1_1200:source_t25_800;study02/study02_p10:target_t2_0:source_t13_800;study02/study02_p09:target_t2_800:source_t1_0;study02/study02_p14:target_t5_800:source_t6_800
415,230;187;51;206;128;25;195;161,study02/study02_p18:target_t0_800:source_t11_0;study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p17:target_t7_400:source_t19_400;study02/study02_p13:target_t8_1200:source_t9_800;study02/study02_p08:target_t2_1200:source_t13_400;study02/study02_p16:target_t20_400:source_t10_0;study02/study02_p15:target_t9_1200:source_t4_800
416,209;232;175;5;105;66;65;152,study02/study02_p17:target_t9_0:source_t21_0;study02/study02_p18:target_t6_400:source_t11_800;study02/study02_p16:target_t0_400:source_t2_0;study02/study02_p07:target_t6_0:source_t3_1200;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p09:target_t24_0:source_t14_400;study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p14:target_t22_0:source_t14_800
417,83;80;89;12;167;144;118;197,study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p11:target_t7_800:source_t0_0;study02/study02_p07:target_t19_0:source_t7_0;study02/study02_p15:target_t16_0:source_t6_0;study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p12:target_t14_1200:source_t11_0;study02/study02_p16:target_t20_1200:source_t10_800
418,156;0;52;85;67;191;184;34,study02/study02_p15:target_t7_400:source_t1_400;study02/study02_p07:target_t1_0:source_t25_400;study02/study02_p09:target_t15_0:source_t6_1200;study02/study02_p11:target_t1_0:source_t20_0;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p16:target_t18_400:source_t8_400;study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p08:target_t11_0:source_t15_1200
419,77;54;238;76;171;174;95;140,study02/study02_p10:target_t11_400:source_t18_400;study02/study02_p09:target_t15_800:source_t8_400;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p10:target_t11_0:source_t18_0;study02/study02_p15:target_t17_400:source_t12_0;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p14:target_t5_0:source_t3_1200
420,94;137;143;81;40;33;101;228,study02/study02_p11:target_t11_800:source_t2_400;study02/study02_p14:target_t4_400:source_t2_800;study02/study02_p14:target_t10_0:source_t8_400;study02/study02_p10:target_t19_0:source_t20_1200;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p11:target_t21_1200:source_t4_400;study02/study02_p17:target_t23_800:source_t2_1200
421,151;204;240;235;9;111;39;108,study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p17:target_t5_1200:source_t15_800;study02/study02_p18:target_t20_800:source_t13_800;study02/study02_p18:target_t10_800:source_t12_400;study02/study02_p07:target_t16_0:source_t4_1200;study02/study02_p12:target_t9_400:source_t3_400;study02/study02_p09:target_t2_0:source_t0_800;study02/study02_p12:target_t6_800:source_t1_800
422,224;239;123;223;210;196;110;92,study02/study02_p17:target_t20_800:source_t1_1200;study02/study02_p18:target_t20_0:source_t13_400;study02/study02_p13:target_t4_0:source_t7_400;study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p17:target_t9_800:source_t21_400;study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p11:target_t8_1200:source_t0_1200
423,100;60;233;219;112;125;91;106,study02/study02_p11:target_t21_800:source_t4_0;study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p17:target_t18_0:source_t24_800;study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p13:target_t6_400:source_t7_1200;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p12:target_t2_1200:source_t0_800
424,226;2;131;4;86;87;181;200,study02/study02_p17:target_t23_0:source_t2_400;study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p07:target_t2_1200:source_t3_800;study02/study02_p11:target_t1_400:source_t20_400;study02/study02_p11:target_t1_800:source_t20_800;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p17:target_t0_0:source_t14_800
425,150;178;198;168;50;179;6;186,study02/study02_p14:target_t19_400:source_t14_0;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p16:target_t23_0:source_t14_0;study02/study02_p15:target_t16_400:source_t6_400;study02/study02_p09:target_t7_800:source_t6_400;study02/study02_p16:target_t4_400:source_t3_0;study02/study02_p07:target_t6_400:source_t4_0;study02/study02_p16:target_t15_0:source_t7_0
426,132;141;163;26;46;124;28;194,study02/study02_p13:target_t11_800:source_t12_800;study02/study02_p14:target_t5_400:source_t6_400;study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p08:target_t7_0:source_t13_800;study02/study02_p09:target_t5_0:source_t3_400;study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p08:target_t7_800:source_t14_0;study02/study02_p16:target_t20_0:source_t9_0
427,93;35;180;122;157;215;145;7,study02/study02_p11:target_t11_0:source_t2_0;study02/study02_p08:target_t11_400:source_t17_0;study02/study02_p16:target_t4_800:source_t3_400;study02/study02_p12:target_t19_400:source_t12_0;study02/study02_p15:target_t7_1200:source_t1_800;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p14:target_t10_800:source_t11_400;study02/study02_p07:target_t6_800:source_t4_400
428,188;61;203;208;192;117;158;31,study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p17:target_t5_0:source_t15_400;study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p08:target_t8_800:source_t14_1200
429,45;138;193;88;154;160;20;64,study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p14:target_t4_800:source_t3_400;study02/study02_p16:target_t18_1200:source_t8_1200;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p15:target_t9_800:source_t4_400;study02/study02_p08:target_t0_0:source_t12_0;study02/study02_p09:target_t22_0:source_t13_1200
430,133;74;90;49;53;42;211;59,study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p10:target_t10_0:source_t17_800;study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p09:target_t5_1200:source_t6_0;study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p09:target_t2_1200:source_t1_400;study02/study02_p17:target_t9_1200:source_t21_800;study02/study02_p09:target_t19_1200:source_t11_800
431,155;182;21;63;70;97;98;136,study02/study02_p15:target_t7_0:source_t1_0;study02/study02_p16:target_t11_0:source_t3_1200;study02/study02_p08:target_t0_400:source_t12_400;study02/study02_p09:target_t21_1200:source_t13_800;study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p11:target_t14_1200:source_t3_400;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p14:target_t1_800:source_t2_0
432,116;16;189;11;227;127;148;216,study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p07:target_t22_800:source_t9_800;study02/study02_p16:target_t15_1200:source_t7_1200;study02/study02_p07:target_t16_1200:source_t5_1200;study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p13:target_t6_1200:source_t9_400;study02/study02_p14:target_t15_400:source_t13_800;study02/study02_p17:target_t16_0:source_t22_1200
433,103;48;43;213;222;176;212;29,study02/study02_p11:target_t22_400:source_t4_1200;study02/study02_p09:target_t5_800:source_t3_1200;study02/study02_p09:target_t4_0:source_t1_800;study02/study02_p17:target_t13_400:source_t22_0;study02/study02_p17:target_t20_0:source_t25_800;study02/study02_p16:target_t0_800:source_t2_400;study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p08:target_t8_0:source_t14_400
434,75,study02/study02_p10:target_t10_400:source_t17_1200
435,7;109;89;3;174;63;134;108,study02/study02_p07:target_t6_800:source_t4_400;study02/study02_p12:target_t7_400:source_t1_1200;study02/study02_p11:target_t7_800:source_t0_0;study02/study02_p07:target_t2_800:source_t3_400;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p09:target_t21_1200:source_t13_800;study02/study02_p13:target_t15_800:source_t14_0;study02/study02_p12:target_t6_800:source_t1_800
436,232;211;123;85;218;15;135;141,study02/study02_p18:target_t6_400:source_t11_800;study02/study02_p17:target_t9_1200:source_t21_800;study02/study02_p13:target_t4_0:source_t7_400;study02/study02_p11:target_t1_0:source_t20_0;study02/study02_p17:target_t16_1200:source_t24_400;study02/study02_p07:target_t22_0:source_t9_400;study02/study02_p14:target_t1_0:source_t0_800;study02/study02_p14:target_t5_400:source_t6_400
437,69;193;183;5;104;168;164;224,study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p16:target_t18_1200:source_t8_1200;study02/study02_p16:target_t11_400:source_t5_0;study02/study02_p07:target_t6_0:source_t3_1200;study02/study02_p12:target_t2_0:source_t0_0;study02/study02_p15:target_t16_400:source_t6_400;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p17:target_t20_800:source_t1_1200
438,203;110;143;191;179;25;146;153,study02/study02_p17:target_t5_0:source_t15_400;study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p14:target_t10_0:source_t8_400;study02/study02_p16:target_t18_400:source_t8_400;study02/study02_p16:target_t4_400:source_t3_0;study02/study02_p08:target_t2_1200:source_t13_400;study02/study02_p14:target_t12_0:source_t13_0;study02/study02_p15:target_t3_800:source_t0_800
439,137;160;128;170;58;118;227;171,study02/study02_p14:target_t4_400:source_t2_800;study02/study02_p15:target_t9_800:source_t4_400;study02/study02_p13:target_t8_1200:source_t9_800;study02/study02_p15:target_t17_0:source_t6_1200;study02/study02_p09:target_t19_800:source_t11_400;study02/study02_p12:target_t14_1200:source_t11_0;study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p15:target_t17_400:source_t12_0
440,240;196;177;111;120;29;186;197,study02/study02_p18:target_t20_800:source_t13_800;study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p16:target_t0_1200:source_t2_800;study02/study02_p12:target_t9_400:source_t3_400;study02/study02_p12:target_t18_1200:source_t11_800;study02/study02_p08:target_t8_0:source_t14_400;study02/study02_p16:target_t15_0:source_t7_0;study02/study02_p16:target_t20_1200:source_t10_800
441,132;142;62;47;46;150;122;167,study02/study02_p13:target_t11_800:source_t12_800;study02/study02_p14:target_t5_800:source_t6_800;study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p09:target_t5_0:source_t3_400;study02/study02_p14:target_t19_400:source_t14_0;study02/study02_p12:target_t19_400:source_t12_0;study02/study02_p15:target_t16_0:source_t6_0
442,226;125;40;14;121;32;192;97,study02/study02_p17:target_t23_0:source_t2_400;study02/study02_p13:target_t6_400:source_t7_1200;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p07:target_t20_1200:source_t9_0;study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p08:target_t9_0:source_t15_400;study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p11:target_t14_1200:source_t3_400
443,12;64;66;113;169;19;18;147,study02/study02_p07:target_t19_0:source_t7_0;study02/study02_p09:target_t22_0:source_t13_1200;study02/study02_p09:target_t24_0:source_t14_400;study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p07:target_t23_1200:source_t10_400;study02/study02_p07:target_t23_800:source_t10_0;study02/study02_p14:target_t15_0:source_t13_400
444,230;45;52;28;2;91;51;26,study02/study02_p18:target_t0_800:source_t11_0;study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p09:target_t15_0:source_t6_1200;study02/study02_p08:target_t7_800:source_t14_0;study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p08:target_t7_0:source_t13_800
445,144;77;39;1;216;178;202;6,study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p10:target_t11_400:source_t18_400;study02/study02_p09:target_t2_0:source_t0_800;study02/study02_p07:target_t1_1200:source_t25_800;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p07:target_t6_400:source_t4_0
446,31;234;235;23;13;124;61;115,study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p18:target_t10_800:source_t12_400;study02/study02_p08:target_t0_1200:source_t12_1200;study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p12:target_t14_0:source_t4_400
447,204;236;68;10;154;165;98;207,study02/study02_p17:target_t5_1200:source_t15_800;study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p10:target_t2_0:source_t13_800;study02/study02_p07:target_t16_800:source_t5_800;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p17:target_t7_800:source_t19_800
448,106;206;92;229;42;103;209;176,study02/study02_p12:target_t2_1200:source_t0_800;study02/study02_p17:target_t7_400:source_t19_400;study02/study02_p11:target_t8_1200:source_t0_1200;study02/study02_p18:target_t0_400:source_t9_1200;study02/study02_p09:target_t2_1200:source_t1_400;study02/study02_p11:target_t22_400:source_t4_1200;study02/study02_p17:target_t9_0:source_t21_0;study02/study02_p16:target_t0_800:source_t2_400
449,34;8;162;88;145;231;212;194,study02/study02_p08:target_t11_0:source_t15_1200;study02/study02_p07:target_t6_1200:source_t4_800;study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p14:target_t10_800:source_t11_400;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p16:target_t20_0:source_t9_0
450,139;180;237;38;41;80;190;198,study02/study02_p14:target_t4_1200:source_t3_800;study02/study02_p16:target_t4_800:source_t3_400;study02/study02_p18:target_t16_800:source_t12_1200;study02/study02_p08:target_t16_400:source_t17_1200;study02/study02_p09:target_t2_800:source_t1_0;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p16:target_t18_0:source_t8_0;study02/study02_p16:target_t23_0:source_t14_0
451,107;35;155;217;189;233;199;201,study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p08:target_t11_400:source_t17_0;study02/study02_p15:target_t7_0:source_t1_0;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p16:target_t15_1200:source_t7_1200;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p17:target_t0_400:source_t14_1200
452,20;21;112;36;81;215;55;156,study02/study02_p08:target_t0_0:source_t12_0;study02/study02_p08:target_t0_400:source_t12_400;study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p10:target_t19_0:source_t20_1200;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p09:target_t15_1200:source_t8_800;study02/study02_p15:target_t7_400:source_t1_400
453,188;149;222;76;53;175;54;129,study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p14:target_t15_800:source_t13_1200;study02/study02_p17:target_t20_0:source_t25_800;study02/study02_p10:target_t11_0:source_t18_0;study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p16:target_t0_400:source_t2_0;study02/study02_p09:target_t15_800:source_t8_400;study02/study02_p13:target_t10_800:source_t9_1200
454,60;105;210;205;59;22;86;11,study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p17:target_t9_800:source_t21_400;study02/study02_p17:target_t7_0:source_t15_1200;study02/study02_p09:target_t19_1200:source_t11_800;study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p11:target_t1_400:source_t20_400;study02/study02_p07:target_t16_1200:source_t5_1200
455,78;200;133;161;225;24;83;16,study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p15:target_t9_1200:source_t4_800;study02/study02_p17:target_t20_1200:source_t2_0;study02/study02_p08:target_t2_0:source_t13_0;study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p07:target_t22_800:source_t9_800
456,157;126;238;152;223;96;70;72,study02/study02_p15:target_t7_1200:source_t1_800;study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p14:target_t22_0:source_t14_800;study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p10:target_t3_400:source_t16_1200
457,93;43;71;101;87;102;75;74,study02/study02_p11:target_t11_0:source_t2_0;study02/study02_p09:target_t4_0:source_t1_800;study02/study02_p10:target_t3_0:source_t16_800;study02/study02_p11:target_t21_1200:source_t4_400;study02/study02_p11:target_t1_800:source_t20_800;study02/study02_p11:target_t22_0:source_t4_800;study02/study02_p10:target_t10_400:source_t17_1200;study02/study02_p10:target_t10_0:source_t17_800
458,114;184;163;228;127;100;33;185,study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p17:target_t23_800:source_t2_1200;study02/study02_p13:target_t6_1200:source_t9_400;study02/study02_p11:target_t21_800:source_t4_0;study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p16:target_t11_1200:source_t5_800
459,208;131;214;166;219;151;140;4,study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p17:target_t13_800:source_t22_400;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p17:target_t18_0:source_t24_800;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p14:target_t5_0:source_t3_1200;study02/study02_p07:target_t2_1200:source_t3_800
460,90;56;159;30;0;182;213;49,study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p09:target_t19_0:source_t8_1200;study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p07:target_t1_0:source_t25_400;study02/study02_p16:target_t11_0:source_t3_1200;study02/study02_p17:target_t13_400:source_t22_0;study02/study02_p09:target_t5_1200:source_t6_0
461,65;9;117;84;95;99;116;94,study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p07:target_t16_0:source_t4_1200;study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p10:target_t19_1200:source_t21_800;study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p11:target_t11_800:source_t2_400
462,173;220;37;130;181;17;50;57,study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p17:target_t18_400:source_t24_1200;study02/study02_p08:target_t16_0:source_t17_800;study02/study02_p13:target_t11_0:source_t12_0;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p07:target_t23_0:source_t9_1200;study02/study02_p09:target_t7_800:source_t6_400;study02/study02_p09:target_t19_400:source_t11_0
463,187;172;158;119;44;48;67;82,study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p15:target_t22_0:source_t12_400;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p09:target_t4_400:source_t1_1200;study02/study02_p09:target_t5_800:source_t3_1200;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p10:target_t19_400:source_t21_0
464,239;138;195;221;79;136;73;148,study02/study02_p18:target_t20_0:source_t13_400;study02/study02_p14:target_t4_800:source_t3_400;study02/study02_p16:target_t20_400:source_t10_0;study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p14:target_t1_800:source_t2_0;study02/study02_p10:target_t3_800:source_t17_400;study02/study02_p14:target_t15_400:source_t13_800
465,27,study02/study02_p08:target_t7_400:source_t13_1200
466,131;2;196;159;95;236;173;109,study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p12:target_t7_400:source_t1_1200
467,29;239;16;220;156;224;67;53,study02/study02_p08:target_t8_0:source_t14_400;study02/study02_p18:target_t20_0:source_t13_400;study02/study02_p07:target_t22_800:source_t9_800;study02/study02_p17:target_t18_400:source_t24_1200;study02/study02_p15:target_t7_400:source_t1_400;study02/study02_p17:target_t20_800:source_t1_1200;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p09:target_t15_400:source_t8_0
468,147;231;185;98;145;105;126;78,study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p14:target_t10_800:source_t11_400;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p10:target_t14_0:source_t18_1200
469,127;133;234;158;49;181;88;66,study02/study02_p13:target_t6_1200:source_t9_400;study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p09:target_t5_1200:source_t6_0;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p09:target_t24_0:source_t14_400
